product_id,product_name,product_description,cleaned_description
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function for smartphones|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using",charge sync function- this cable comes with charging data sync function for smartphoneshigh quality material- tpe nylon material to make sure that the life of the cable is enhanced significantlylong cord- the cable is extra thick 1.2 meter long optimized for an easy use for your comfort at home or officemore durable-this cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),"The boAt rugged cable features our special toughest polyethylene braided jacket and this unique jacket provides greater protection than anything else you have seen in its class. Round Cable|Extra tough polyethylene terephthalate cable skin ensures 10000 plus bend lifespan, stress and stretch resistance|The boAt rugged Micro USB cable is compatible with most android smartphones, windows phone, tablets, PC peripherals and other micro USB compatible devices|2.4A rapid charge, fast data transmission and rapid speed to sync your device at the speed up to 480mbps|boAt rugged micro USB cable offers a perfect 1.5 meters in length, optimized for an easy use for your comfort at home or office|2 years warranty from the date of purchase",the boat rugged cable features our special toughest polyethylene braided jacket and this unique jacket provides greater protection than anything else you have seen in its class. round cableextra tough polyethylene terephthalate cable skin ensures 10000 plus bend lifespan stress and stretch resistancethe boat rugged micro usb cable is compatible with most android smartphones windows phone tablets pc peripherals and other micro usb compatible devices2.4a rapid charge fast data transmission and rapid speed to sync your device at the speed up to 480mbpsboat rugged micro usb cable offers a perfect 1.5 meters in length optimized for an easy use for your comfort at home or office2 years warranty from the date of purchase
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Flexible, lightweight HDMI cable for connecting media devices to playback display such as HDTVs, projectors, and more|Compatible with Blu-Ray players, computers, Apple TV, Roku, cable, PS4, Xbox One, and other HDMI-compatible devices|Solid copper conductors and full metal jacket shielding for durability and high-performance connectivity|Supports Ethernet, 3D, 4K video and Audio Return Channel (ARC) and meets the latest HDMI standards|Supports bandwidth up to 18Gbps and is backwards compatible with earlier versions|Includes a 3 foot cable",flexible lightweight hdmi cable for connecting media devices to playback display such as hdtvs projectors and morecompatible with blu-ray players computers apple tv roku cable ps4 xbox one and other hdmi-compatible devicessolid copper conductors and full metal jacket shielding for durability and high-performance connectivitysupports ethernet 3d 4k video and audio return channel arc and meets the latest hdmi standardssupports bandwidth up to 18gbps and is backwards compatible with earlier versionsincludes a 3 foot cable
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green","[20W PD FAST CHARGING]-It’s supports 20W PD quick charge protocol, charge up to 50% in around 30 minutes. It is ideal for charging your USB type c enabled devices at maximum speed|[USB-C to 8 Pin Cable]- It’s offer rapid charging and syncing between USB Type-C and 8 Pin enabled devices. Safe charging at up to 3A is ensured by high-standard components|[MORE DURABLE]- This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[FLEXIBLE CORD]- The Cable uses nylon Braided + Metal Housing material to make sure that the life of the cable is enhanced significantly. It is 4mm extra thick slim 1.2meter long|[UNIVERSAL COMPATIBILITY]-Charge for all Type C USB connectivity devices including MacBook 12 inch, Nexus 5x, Nexus 6p, OnePlus 2, pixel c, Lumia 950, Lumia 950 xl, Nokia n1, etc",20w pd fast charging-its supports 20w pd quick charge protocol charge up to 50 in around 30 minutes. it is ideal for charging your usb type c enabled devices at maximum speedusb-c to 8 pin cable- its offer rapid charging and syncing between usb type-c and 8 pin enabled devices. safe charging at up to 3a is ensured by high-standard componentsmore durable- this cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while usingflexible cord- the cable uses nylon braided metal housing material to make sure that the life of the cable is enhanced significantly. it is 4mm extra thick slim 1.2meter longuniversal compatibility-charge for all type c usb connectivity devices including macbook 12 inch nexus 5x nexus 6p oneplus 2 pixel c lumia 950 lumia 950 xl nokia n1 etc
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",charge sync function- this cable comes with charging data sync functionhigh quality material- tpe nylon material to make sure that the life of the cable is enhanced significantlylong cord- the cable is extra thick 1.2 meter long optimized for an easy use for your comfort at home or officemore durable-this cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while usinguniversal compatibility- compatible with all devices like iphone xs x xr 8 7 6s 6 5s ipad pro ipad mini and ipad air
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),1M Long Cable. Usb 2.0 (Type A)|Toughened Joints|Strong And Sturdy|Country Of Origin: China|6 Months Warranty,1m long cable. usb 2.0 type atoughened jointsstrong and sturdycountry of origin china6 months warranty
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Note : The brands, Mi and Xiaomi, are part of the same multinational conglomerate|Resolution : HD Ready (1366 x 768) Resolution | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: Dual Band Wi-Fi | 2 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | ARC | Bluetooth 5.0 | Ethernet|Sound: 20 Watts Output | Dolby Audio, DTS Virtual: X, DTS-HD|Smart TV Features : Android TV 11 | PatchWall | IMDb Integration | Universal Search | 300+ Free Live Channels | Kids Mode with Parental lock | Smart Recommendations | Language Universe – 15+ Languages | User Centre | Okay Google | Chromecast suporting Apps : Netflix, Prime Video, Disney+ Hotstar | 5000+ apps from Play Store |Quad core Cortex A35 | Chromecast built-in | Ok Google | Auto Low Latency Mode | 1GB RAM + 8GB Storage|Display: HD Ready | Vivid Picture Engine|Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase",note the brands mi and xiaomi are part of the same multinational conglomerateresolution hd ready 1366 x 768 resolution refresh rate 60 hertz 178 degree wide viewing angleconnectivity dual band wi-fi 2 hdmi ports to connect latest gaming consoles set top box blu-ray players 2 usb ports to connect hard drives and other usb devices allm arc bluetooth 5.0 ethernetsound 20 watts output dolby audio dts virtual x dts-hdsmart tv features android tv 11 patchwall imdb integration universal search 300 free live channels kids mode with parental lock smart recommendations language universe 15 languages user centre okay google chromecast suporting apps netflix prime video disney hotstar 5000 apps from play store quad core cortex a35 chromecast built-in ok google auto low latency mode 1gb ram 8gb storagedisplay hd ready vivid picture enginewarranty information 1 year comprehensive warranty on product and 1 year additional on panel provided by the brand from the date of purchase
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)","Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc)|Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|Supports maximum 3A fast charging and 480 Mbps data transfer speed|6 months manufacturer warranty from the date of purchase",compatible with all type c enabled devices be it an android smartphone mi samsung oppo vivo realme oneplus etc tablet laptop macbook chromebook etcunbreakable made of special braided outer with rugged interior bindings it is ultra-durable cable that wont be affected by daily rough usageideal length it has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)","Type C A 325 Cable Is Designed With A Perfect 1.5 Meters In Length For Hassle Free Usage|It Dons Premium Braided Skin That Makes It Sturdy And Invincible Against External Damage With 10000+ Bends Lifespan The Cable Stays Stronger And Lasts Longer|Type C A 325 Offers Universal Compatibility With Smartphones, Tablets, Pc Peripherals, Bluetooth Speakers, Power Banks And All Other Devices With Type C Port|The Reversible Metallic Aluminium Tip Lets The User Connect Devices In A Carefree Manner|Its Flexible Design Offers The User A Tangle-Free Experience|2 years warranty from the date of purchase",type c a 325 cable is designed with a perfect 1.5 meters in length for hassle free usageit dons premium braided skin that makes it sturdy and invincible against external damage with 10000 bends lifespan the cable stays stronger and lasts longertype c a 325 offers universal compatibility with smartphones tablets pc peripherals bluetooth speakers power banks and all other devices with type c portthe reversible metallic aluminium tip lets the user connect devices in a carefree mannerits flexible design offers the user a tangle-free experience2 years warranty from the date of purchase
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"Resolution: HD Ready (1366x768) | Refresh Rate: 50 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound output: 10 Watts Output I 2 Speakers | DTS Virtual:X | Sound Type : Down Firing|Smart TV Features: Web OS Smart TV | Wi-Fi | Home Dashboard | Screen Mirroring | Mini TV Browser | Multi-Tasking | Office 365, Set WXHXD (with Stand ) mm - 739 x 472 x 168|Display: Active HDR | Display Type: Flat | BackLight Module: Slim LED|Warranty Information: 1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module from the date of purchase|Installation : For requesting installation/wall mounting/demo of this product once delivered, please directly call LG support (Please visit LG Website for Toll Free Numebrs) and provide product's model name as well as seller's details mentioned on the invoice",resolution hd ready 1366x768 refresh rate 50 hertzconnectivity 2 hdmi ports to connect set top box blu ray players gaming console 1 usb ports to connect hard drives and other usb devicessound output 10 watts output i 2 speakers dts virtualx sound type down firingsmart tv features web os smart tv wi-fi home dashboard screen mirroring mini tv browser multi-tasking office 365 set wxhxd with stand mm - 739 x 472 x 168display active hdr display type flat backlight module slim ledwarranty information 1 year lg india comprehensive warranty and additional 1 year warranty is applicable on panelmodule from the date of purchaseinstallation for requesting installationwall mountingdemo of this product once delivered please directly call lg support please visit lg website for toll free numebrs and provide products model name as well as sellers details mentioned on the invoice
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black","Supports Ios Devices With Max Output Up To 2.4A|Up To 10, 000+ Bend And 10, 000+ Plugging And Unplugging Test Ensure This Cable A Longer Lifespan|Ensure Fast And Stable Data Transmission Up To 480 Mbps|2 Years Warranty|Compatible Designed To Work Flawlessly With Mfi Or Apple Devices, Iphone, Imac, Ipad Etc|1.2M Tangle Free Durable Tough Braiding Sync & Charge Cable",supports ios devices with max output up to 2.4aup to 10 000 bend and 10 000 plugging and unplugging test ensure this cable a longer lifespanensure fast and stable data transmission up to 480 mbps2 years warrantycompatible designed to work flawlessly with mfi or apple devices iphone imac ipad etc1.2m tangle free durable tough braiding sync charge cable
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","Superior Stability: Built-in advanced Certified AG6200 IC chip converts HDMI digital signal to VGA analog signal. It is NOT a bi-directional converter and cannot transmit signals from VGA to HDMI.|Compact Design: Tizum HDMI to VGA adapter is compact & lightweight which makes it easy to carry, travel friendly and also saves space on your desk helping it keep clutter free.|High Definition Image Quality: The HDMI male to VGA female converter supports resolution up to 1920x1080 60Hz (1080p Full HD) including 720p, 1600x1200, 1280x1024 for high definition monitors & projectors.|Wide Compatibility: The adapter is compatible with Computer, PC, Desktop, Laptop, Notebook, Chromebook, PS3, Xbox, Set Top Box, TV & other devices with HDMI port. Note: Does not Support Audio.|Incredible Performance: It resists corrosion & abrasion; improves signal transmission; & protects HDMI port of your device to ensure a longer lifespan",superior stability built-in advanced certified ag6200 ic chip converts hdmi digital signal to vga analog signal. it is not a bi-directional converter and cannot transmit signals from vga to hdmi.compact design tizum hdmi to vga adapter is compact lightweight which makes it easy to carry travel friendly and also saves space on your desk helping it keep clutter free.high definition image quality the hdmi male to vga female converter supports resolution up to 1920x1080 60hz 1080p full hd including 720p 1600x1200 1280x1024 for high definition monitors projectors.wide compatibility the adapter is compatible with computer pc desktop laptop notebook chromebook ps3 xbox set top box tv other devices with hdmi port. note does not support audio.incredible performance it resists corrosion abrasion improves signal transmission protects hdmi port of your device to ensure a longer lifespan
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound : 20 Watts Output | Dolby Digital Plus|Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie|Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design|Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice|Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",resolution hd ready 1366x768 refresh rate 60 hertzconnectivity 2 hdmi ports to connect set top box blu ray players gaming console 1 usb ports to connect hard drives and other usb devicessound 20 watts output dolby digital plussmart tv features personal computer screen share music system content guide connect share moviedisplay led panel mega contrast purcolor hd picture quality slim stylish designwarranty information 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoiceinstallation tv table stand is not included in the box with this model. customer may ask for table top stand or wall mount which will be provided to the customer at the time of installation please directly call samsung support on 1800407267864 180057267864 and provide products model name as well as sellers details mentioned on the invoiceeasy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),"Micro usb cable is 1 meter in length, optimized for easy use for your comfort at home or office, helps you to overcome distance restrictions|Durable pvc outer exterior: Pvc cables are versatile, high in tensile strength, flexible, and good conductors|Charge & sync, this usb cable can charge and data sync simultaneously at 480mbps speed, compatible with all devices with a micro usb port. Core : Tinned copper|Micro usb charging cable for android phones and any other device with micro usb port|Contact us on 1800-102-2700 or write us on support@flixaccessories.com",micro usb cable is 1 meter in length optimized for easy use for your comfort at home or office helps you to overcome distance restrictionsdurable pvc outer exterior pvc cables are versatile high in tensile strength flexible and good conductorscharge sync this usb cable can charge and data sync simultaneously at 480mbps speed compatible with all devices with a micro usb port. core tinned coppermicro usb charging cable for android phones and any other device with micro usb portcontact us on 1800-102-2700 or write us on supportflixaccessories.com
